rot: 14
ipa: 14
ium: 14
oni: 14
-ma: 14
hir: 14
hal: 14
omb: 14
rua: 14
hit: 14
eno: 14
tap: 14
iku: 14
kto: 14
nen: 14
was: 14
jam: 14
raw: 14
mes: 14
lur: 14
ret: 14
sus: 14
ler: 14
rup: 14
eca: 14
ndo: 14
gsa: 14
uba: 14
gus: 14
gki: 14
amu: 14
hak: 13
dok: 13
rob: 13
bet: 13
iak: 13
ota: 13
kri: 13
pon: 13
mut: 13
mik: 13
oka: 13
ntr: 13
saa: 13
for: 13
bol: 13
aji: 13
git: 13
gia: 13
pek: 13
rem: 13
pad: 13
cam: 13
oro: 13
wal: 13
oli: 13
des: 13
get: 13
lab: 13
had: 13
lel: 13
yam: 13
ogi: 13
pai: 13
rpa: 13
kad: 13
gag: 13
cat: 13
sio: 13
seg: 13
arg: 13
ped: 13
det: 13
pus: 13
bek: 13
rko: 13
inc: 13
ote: 13
bad: 13
kak: 13
jur: 13
rmu: 13
ome: 12
tut: 12
tes: 12
mot: 12
pre: 12
iap: 12
osa: 12
bir: 12
fik: 12
gab: 12
gil: 12
ust: 12
epo: 12
gum: 12
sor: 12
kil: 12
imi: 12
laj: 12
akk: 12
udu: 12
juk: 12
dai: 12
ipu: 12
dur: 12
pol: 12
gah: 12
gap: 12
net: 12
wak: 12
met: 12
kab: 12
cah: 12
apu: 12
jun: 12
irk: 12
ebo: 12
isk: 12
hin: 12
hab: 12
egi: 12
jag: 12
nje: 12
acu: 12
puk: 12
ole: 12
nit: 12
rca: 11
dom: 11
dua: 11
wah: 11
sup: 11
are: 11
idu: 11
taw: 11
lep: 11
bed: 11
sif: 11
bes: 11
ume: 11
gor: 11
umu: 11
son: 11
umi: 11
uki: 11
lal: 11
rok: 11
jel: 11
neg: 11
cem: 11
air: 11
ggi: 11
eju: 11
lip: 11
ros: 11
kaw: 11
ink: 11
unj: 11
red: 11
beb: 11
nse: 11
leg: 11
ade: 11
iat: 11
rbi: 11
tol: 11
nsp: 10
khi: 10
ghi: 10
ede: 10
kia: 10
idi: 10
tru: 10
tip: 10
iny: 10
anu: 10
upu: 10
sip: 10
ame: 10
eso: 10
mam: 10
oti: 10
naa: 10
sud: 10
seh: 10
num: 10
med: 10
gaw: 10
jud: 10
vas: 10
ges: 10
mew: 10
leh: 10
dus: 10
rmi: 10
ope: 10
oho: 10
apk: 10
hen: 10
rju: 10
ale: 10
yun: 10
rel: 10
jer: 10
aju: 10
boh: 10
kok: 10
ore: 10
rib: 10
les: 10
tit: 10
gaj: 10
urn: 10
inf: 10
kuk: 10
rni: 10
kea: 10
iam: 10
obo: 10
gir: 10
dem: 10
hon: 10
sok: 10
oda: 10
alo: 10
bra: 10
jin: 10
cap: 10
pia: 10
edu: 10
pos: 10
ose: 9
keg: 9
rol: 9
dit: 9
vis: 9
rip: 9
kop: 9
rli: 9
ifi: 9
law: 9
don: 9
yeb: 9
rhi: 9
pok: 9
one: 9
nai: 9
kau: 9
yaa: 9
mor: 9
bor: 9
pua: 9
ase: 9
tih: 9
lir: 9
gec: 9
sau: 9
say: 9
yem: 9
lot: 9
ime: 9
rea: 9
nto: 9
gol: 9
nur: 9
uji: 9
odu: 9
lib: 9
bit: 9
egu: 9
pit: 9
spi: 9
yik: 9
akh: 9
jen: 9
mad: 9
nel: 9
rlu: 9
ide: 9
dil: 9
uks: 9
ija: 9
ril: 9
ane: 9
-la: 9
pla: 9
rep: 9
hay: 9
suh: 9
ktu: 9
dra: 9
cil: 8
tup: 8
jum: 8
kos: 8
rsu: 8
kac: 8
opa: 8
yah: 8
ski: 8
hia: 8
ipi: 8
tep: 8
bab: 8
bay: 8
guh: 8
oya: 8
kse: 8
ius: 8
ait: 8
oso: 8
kim: 8
baw: 8
hun: 8
kla: 8
